,label,category,sim_bow,walks_bow,walks_skp,fingers_bow
0,kit_fox,animal,"[('cbs', 0.72), ('leno', 0.71), ('nbc', 0.68), ('uecker', 0.68)]","[('cbs', 0.63), ('tonight', 0.63), ('nbc', 0.61), ('airs', 0.61)]","[('airing', 0.58), ('cbs', 0.57), ('nightly', 0.56), ('airs', 0.56)]","[('hook', 0.63), ('cherry', 0.6), ('flashing', 0.6), ('chili', 0.59)]"
1,English_setter,animal,"[('pinscher', 0.87), ('sheepdog', 0.87), ('cur', 0.86), ('wirehaired', 0.86)]","[('knobs', 0.68), ('cayenne', 0.68), ('taps', 0.67), ('weasels', 0.67)]","[('shakuhachi', 0.62), ('tsk', 0.62), ('coonhound', 0.62), ('ermine', 0.61)]","[('fluke', 0.71), ('paddles', 0.71), ('opal', 0.71), ('wavy', 0.71)]"
2,Siberian_husky,animal,"[('sheepdog', 0.89), ('catahoula', 0.88), ('collie', 0.87), ('mastiff', 0.87)]","[('weasels', 0.71), ('gulfs', 0.7), ('rhodope', 0.69), ('hopped', 0.68)]","[('plunges', 0.65), ('snowboarding', 0.64), ('raft', 0.64), ('neva', 0.64)]","[('opal', 0.73), ('spiny', 0.72), ('teflon', 0.72), ('collie', 0.71)]"
3,Australian_terrier,animal,"[('spaniel', 0.92), ('mastiff', 0.89), ('bulldog', 0.86), ('sheepdog', 0.85)]","[('poplar', 0.7), ('oyster', 0.64), ('catahoula', 0.64), ('spotted', 0.63)]","[('foxhound', 0.61), ('poplar', 0.6), ('coonhound', 0.59), ('spaniel', 0.58)]","[('striped', 0.73), ('hook', 0.73), ('chili', 0.69), ('barb', 0.69)]"
4,English_springer,animal,"[('verlag', 0.96), ('phys', 0.76), ('pp', 0.75), ('elsevier', 0.75)]","[('verlag', 0.64), ('alto', 0.56), ('ontologies', 0.56), ('eccles', 0.56)]","[('verlag', 0.63), ('prentice', 0.6), ('mcgraw', 0.59), ('elsevier', 0.57)]","[('transverse', 0.63), ('cmp', 0.63), ('alto', 0.62), ('longitudinal', 0.61)]"
5,grey_whale,animal,"[('dolphin', 0.85), ('beaked', 0.83), ('leopard', 0.81), ('zebra', 0.81)]","[('whales', 0.68), ('poplar', 0.67), ('humpback', 0.64), ('crab', 0.64)]","[('whales', 0.62), ('feeding', 0.57), ('cetaceans', 0.57), ('palms', 0.55)]","[('tail', 0.73), ('reddish', 0.7), ('crab', 0.7), ('cones', 0.7)]"
6,lesser_panda,animal,"[('cat', 0.79), ('giant', 0.79), ('whale', 0.78), ('bird', 0.77)]","[('crab', 0.65), ('bee', 0.65), ('sled', 0.65), ('deer', 0.64)]","[('bats', 0.59), ('flea', 0.58), ('coyote', 0.56), ('pandas', 0.56)]","[('crab', 0.72), ('shark', 0.71), ('striped', 0.7), ('sticky', 0.69)]"
7,Egyptian_cat,animal,"[('dog', 0.82), ('panda', 0.79), ('goat', 0.77), ('hamster', 0.77)]","[('bee', 0.68), ('chopped', 0.66), ('chicken', 0.65), ('sled', 0.65)]","[('cats', 0.57), ('piste', 0.57), ('chicks', 0.56), ('daisies', 0.56)]","[('hook', 0.74), ('sticky', 0.72), ('tail', 0.71), ('abalone', 0.71)]"
8,ibex,animal,"[('kallela', 0.9), ('maithili', 0.89), ('cercozoa', 0.89), ('lobose', 0.89)]","[('smeared', 0.76), ('knobs', 0.73), ('tsn', 0.72), ('hopped', 0.72)]","[('sierras', 0.7), ('alpina', 0.69), ('titisee', 0.69), ('bikers', 0.68)]","[('cellophane', 0.75), ('knobs', 0.75), ('scallop', 0.75), ('actuators', 0.74)]"
9,Persian_cat,animal,"[('dog', 0.82), ('panda', 0.79), ('goat', 0.77), ('hamster', 0.77)]","[('bee', 0.68), ('chopped', 0.66), ('chicken', 0.65), ('sled', 0.65)]","[('cats', 0.57), ('piste', 0.57), ('chicks', 0.56), ('daisies', 0.56)]","[('hook', 0.74), ('sticky', 0.72), ('tail', 0.71), ('abalone', 0.71)]"
